====================================================================================================
3-CARD PREFLOP SCORES FOR TOSS'EM HOLD'EM (MONTE CARLO)
====================================================================================================

Simulations per hand: 50000

Formula:
  Preflop Score = (3card_equity + 2card_eq_1 + 2card_eq_2 + 2card_eq_3) / 4

Total hand classes: 1911

----------------------------------------------------------------------------------------------------
Rank  Hand   Score   Raw3c   2c_1    2c_2    2c_3    Pattern  Best  
----------------------------------------------------------------------------------------------------
1     AAA    0.8236  0.9170  0.7924  0.7924  0.7924  ___      AA    
2     KKK    0.8035  0.9139  0.7667  0.7667  0.7667  ___      KK    
3     QQQ    0.7851  0.9020  0.7462  0.7462  0.7462  ___      QQ    
4     JJJ    0.7661  0.8924  0.7240  0.7240  0.7240  ___      JJ    
5     TTT    0.7429  0.8779  0.6979  0.6979  0.6979  ___      TT    
6     999    0.7217  0.8850  0.6673  0.6673  0.6673  ___      99    
7     AAK    0.7196  0.8215  0.7924  0.6413  0.6231  _AA      AA    
8     AAK    0.7191  0.8193  0.7924  0.6413  0.6231  A_A      AA    
9     AAQ    0.7137  0.8107  0.7924  0.6367  0.6151  _AA      AA    
10    AAQ    0.7135  0.8099  0.7924  0.6367  0.6151  A_A      AA    
11    AAJ    0.7076  0.7989  0.7924  0.6318  0.6072  A_A      AA    
12    AAJ    0.7075  0.7984  0.7924  0.6318  0.6072  _AA      AA    
13    AAK    0.7064  0.7868  0.7924  0.6231  0.6231  ___      AA    
14    AAT    0.7049  0.7955  0.7924  0.6265  0.6053  A_A      AA    
15    AAT    0.7041  0.7922  0.7924  0.6265  0.6053  _AA      AA    
16    AAQ    0.7004  0.7791  0.7924  0.6151  0.6151  ___      AA    
17    888    0.6997  0.8803  0.6395  0.6395  0.6395  ___      88    
18    AAJ    0.6944  0.7709  0.7924  0.6072  0.6072  ___      AA    
19    AKK    0.6929  0.7404  0.7667  0.6413  0.6231  A_A      KK    
20    AKK    0.6924  0.7383  0.7667  0.6413  0.6231  AA_      KK    
21    AA8    0.6921  0.7980  0.7924  0.6023  0.5756  A_A      AA    
22    AA9    0.6915  0.7889  0.7924  0.6052  0.5794  _AA      AA    
23    AA9    0.6914  0.7884  0.7924  0.6052  0.5794  A_A      AA    
24    AAT    0.6912  0.7618  0.7924  0.6053  0.6053  ___      AA    
25    AA8    0.6912  0.7946  0.7924  0.6023  0.5756  _AA      AA    
26    KKQ    0.6873  0.7819  0.7667  0.6134  0.5874  A_A      KK    
27    AA7    0.6872  0.8005  0.7924  0.5893  0.5664  _AA      AA    
28    KKQ    0.6870  0.7805  0.7667  0.6134  0.5874  _AA      KK    
29    AA5    0.6869  0.8100  0.7924  0.5863  0.5588  A_A      AA    
30    AA7    0.6868  0.7990  0.7924  0.5893  0.5664  A_A      AA    
31    AA5    0.6860  0.8063  0.7924  0.5863  0.5588  _AA      AA    
32    AA4    0.6845  0.8236  0.7924  0.5784  0.5437  _AA      AA    
33    AA4    0.6845  0.8233  0.7924  0.5784  0.5437  A_A      AA    
34    KKJ    0.6835  0.7696  0.7667  0.6105  0.5870  A_A      KK    
35    KKJ    0.6833  0.7692  0.7667  0.6105  0.5870  _AA      KK    
36    AA6    0.6824  0.8009  0.7924  0.5811  0.5553  _AA      AA    
37    AA3    0.6824  0.8378  0.7924  0.5628  0.5367  A_A      AA    
38    AA6    0.6823  0.8003  0.7924  0.5811  0.5553  A_A      AA    
39    AA3    0.6821  0.8366  0.7924  0.5628  0.5367  _AA      AA    
40    AA2    0.6805  0.8526  0.7924  0.5535  0.5235  A_A      AA    
41    AA2    0.6796  0.8492  0.7924  0.5535  0.5235  _AA      AA    
42    KKT    0.6788  0.7627  0.7667  0.6056  0.5803  _AA      KK    
43    KKT    0.6787  0.7623  0.7667  0.6056  0.5803  A_A      KK    
44    AKK    0.6785  0.7012  0.7667  0.6231  0.6231  ___      KK    
45    AA9    0.6766  0.7552  0.7924  0.5794  0.5794  ___      AA    
46    AA8    0.6763  0.7616  0.7924  0.5756  0.5756  ___      AA    
47    AQQ    0.6758  0.7052  0.7462  0.6367  0.6151  AA_      QQ    
48    AQQ    0.6751  0.7025  0.7462  0.6367  0.6151  A_A      QQ    
49    777    0.6736  0.8792  0.6050  0.6050  0.6050  ___      77    
50    AA5    0.6730  0.7819  0.7924  0.5588  0.5588  ___      AA    
51    AA7    0.6727  0.7658  0.7924  0.5664  0.5664  ___      AA    
52    KKQ    0.6726  0.7488  0.7667  0.5874  0.5874  ___      KK    
53    KKJ    0.6704  0.7409  0.7667  0.5870  0.5870  ___      KK    
54    AA3    0.6683  0.8075  0.7924  0.5367  0.5367  ___      AA    
55    KK9    0.6678  0.7581  0.7667  0.5867  0.5598  A_A      KK    
56    AA4    0.6678  0.7912  0.7924  0.5437  0.5437  ___      AA    
57    AA6    0.6676  0.7675  0.7924  0.5553  0.5553  ___      AA    
58    KK9    0.6676  0.7571  0.7667  0.5867  0.5598  _AA      KK    
59    QQJ    0.6659  0.7451  0.7462  0.5981  0.5741  A_A      QQ    
60    KQQ    0.6653  0.7144  0.7462  0.6134  0.5874  A_A      QQ    
61    QQJ    0.6653  0.7427  0.7462  0.5981  0.5741  _AA      QQ    
62    KQQ    0.6653  0.7141  0.7462  0.6134  0.5874  AA_      QQ    
63    AA2    0.6652  0.8213  0.7924  0.5235  0.5235  ___      AA    
64    KKT    0.6640  0.7289  0.7667  0.5803  0.5803  ___      KK    
65    AQQ    0.6610  0.6675  0.7462  0.6151  0.6151  ___      QQ    
66    QQT    0.6607  0.7385  0.7462  0.5919  0.5663  _AA      QQ    
67    QQT    0.6596  0.7341  0.7462  0.5919  0.5663  A_A      QQ    
68    AJJ    0.6584  0.6705  0.7240  0.6318  0.6072  AA_      JJ    
69    AJJ    0.6579  0.6688  0.7240  0.6318  0.6072  A_A      JJ    
70    KK7    0.6571  0.7600  0.7667  0.5667  0.5351  A_A      KK    
71    KK7    0.6569  0.7592  0.7667  0.5667  0.5351  _AA      KK    
72    KK8    0.6562  0.7505  0.7667  0.5699  0.5376  _AA      KK    
73    KK8    0.6559  0.7493  0.7667  0.5699  0.5376  A_A      KK    
74    KK9    0.6539  0.7292  0.7667  0.5598  0.5598  ___      KK    
75    KK6    0.6537  0.7632  0.7667  0.5556  0.5294  A_A      KK    
76    KK6    0.6532  0.7611  0.7667  0.5556  0.5294  _AA      KK    
77    QQJ    0.6528  0.7170  0.7462  0.5741  0.5741  ___      QQ    
78    666    0.6528  0.8744  0.5789  0.5789  0.5789  ___      66    
79    KJJ    0.6508  0.6818  0.7240  0.6105  0.5870  AA_      JJ    
80    KQQ    0.6502  0.6799  0.7462  0.5874  0.5874  ___      QQ    
81    KK5    0.6502  0.7657  0.7667  0.5509  0.5175  A_A      KK    
82    KJJ    0.6502  0.6792  0.7240  0.6105  0.5870  A_A      JJ    
83    KK5    0.6500  0.7647  0.7667  0.5509  0.5175  _AA      KK    
84    QQ9    0.6488  0.7319  0.7462  0.5738  0.5433  _AA      QQ    
85    QQ9    0.6477  0.7276  0.7462  0.5738  0.5433  A_A      QQ    
86    QQT    0.6467  0.7079  0.7462  0.5663  0.5663  ___      QQ    
87    AKQ    0.6464  0.6941  0.6413  0.6367  0.6134  AAA      AKs   
88    KK4    0.6463  0.7733  0.7667  0.5426  0.5027  A_A      KK    
89    JJT    0.6461  0.7183  0.7240  0.5858  0.5562  _AA      JJ    
90    KK4    0.6460  0.7721  0.7667  0.5426  0.5027  _AA      KK    
91    KK3    0.6459  0.7906  0.7667  0.5323  0.4941  A_A      KK    
92    JJT    0.6453  0.7153  0.7240  0.5858  0.5562  A_A      JJ    
93    AJJ    0.6449  0.6412  0.7240  0.6072  0.6072  ___      JJ    
94    KK3    0.6448  0.7863  0.7667  0.5323  0.4941  _AA      KK    
95    QJJ    0.6444  0.6813  0.7240  0.5981  0.5741  AA_      JJ    
96    QJJ    0.6438  0.6791  0.7240  0.5981  0.5741  A_A      JJ    
97    ATT    0.6426  0.6409  0.6979  0.6265  0.6053  AA_      TT    
98    KK2    0.6425  0.7988  0.7667  0.5221  0.4826  A_A      KK    
99    KK2    0.6422  0.7974  0.7667  0.5221  0.4826  _AA      KK    
100   AKJ    0.6415  0.6824  0.6413  0.6318  0.6105  AAA      AKs   
101   KK7    0.6411  0.7277  0.7667  0.5351  0.5351  ___      KK    
102   ATT    0.6409  0.6341  0.6979  0.6265  0.6053  A_A      TT    
103   KK8    0.6405  0.7200  0.7667  0.5376  0.5376  ___      KK    
104   KK6    0.6389  0.7302  0.7667  0.5294  0.5294  ___      KK    
105   QQ8    0.6386  0.7300  0.7462  0.5528  0.5256  A_A      QQ    
106   AKT    0.6380  0.6785  0.6413  0.6265  0.6056  AAA      AKs   
107   QQ8    0.6373  0.7248  0.7462  0.5528  0.5256  _AA      QQ    
108   KJJ    0.6369  0.6494  0.7240  0.5870  0.5870  ___      JJ    
109   AQJ    0.6360  0.6773  0.6367  0.6318  0.5981  AAA      AQs   
110   QQ9    0.6341  0.7035  0.7462  0.5433  0.5433  ___      QQ    
111   KK5    0.6338  0.7334  0.7667  0.5175  0.5175  ___      KK    
112   KTT    0.6331  0.6489  0.6979  0.6056  0.5803  A_A      TT    
113   KTT    0.6326  0.6468  0.6979  0.6056  0.5803  AA_      TT    
114   JJ9    0.6314  0.7069  0.7240  0.5632  0.5315  _AA      JJ    
115   AQT    0.6312  0.6698  0.6367  0.6265  0.5919  AAA      AQs   
116   JJT    0.6310  0.6875  0.7240  0.5562  0.5562  ___      JJ    
117   JJ9    0.6307  0.7042  0.7240  0.5632  0.5315  A_A      JJ    
118   QJJ    0.6294  0.6455  0.7240  0.5741  0.5741  ___      JJ    
119   KK4    0.6293  0.7452  0.7667  0.5027  0.5027  ___      KK    
120   QQ6    0.6292  0.7317  0.7462  0.5332  0.5059  A_A      QQ    
121   QQ7    0.6291  0.7196  0.7462  0.5430  0.5076  _AA      QQ    
122   QQ7    0.6290  0.7190  0.7462  0.5430  0.5076  A_A      QQ    
123   555    0.6289  0.8681  0.5492  0.5492  0.5492  ___      55    
124   AJT    0.6284  0.6696  0.6318  0.6265  0.5858  AAA      AJs   
125   ATT    0.6281  0.6037  0.6979  0.6053  0.6053  ___      TT    
126   KK3    0.6279  0.7566  0.7667  0.4941  0.4941  ___      KK    
