============================================================
2-CARD EQUITY TABLE FOR TOSS'EM HOLD'EM
============================================================

Simulations per hand: 50000
Total unique hands: 169

Equity = Win% + (Tie%/2) vs random 2-card hand

----------------------------------------
Rank   Hand     Equity    
----------------------------------------
1      AA       0.7947
2      KK       0.7670
3      QQ       0.7452
4      JJ       0.7266
5      TT       0.6987
6      99       0.6697
7      AKs      0.6426
8      AQs      0.6368
9      88       0.6355
10     AJs      0.6301
11     ATs      0.6235
12     AKo      0.6233
13     AQo      0.6171
14     KQs      0.6151
15     77       0.6112
16     KJs      0.6104
17     KTs      0.6095
18     AJo      0.6088
19     A9s      0.6078
20     ATo      0.6039
21     A8s      0.6006
22     QJs      0.5990
23     QTs      0.5926
24     KQo      0.5914
25     A7s      0.5903
26     K9s      0.5881
27     A5s      0.5858
28     KJo      0.5857
29     A6s      0.5845
30     JTs      0.5819
31     A9o      0.5809
32     KTo      0.5808
33     66       0.5788
34     A8o      0.5783
35     QJo      0.5776
36     Q9s      0.5742
37     A4s      0.5739
38     QTo      0.5698
39     K8s      0.5696
40     K7s      0.5678
41     A3s      0.5665
42     A7o      0.5636
43     J9s      0.5618
44     K6s      0.5600
45     A5o      0.5586
46     JTo      0.5579
47     K9o      0.5575
48     A2s      0.5575
49     T9s      0.5552
50     Q8s      0.5551
51     K5s      0.5536
52     A6o      0.5512
53     J8s      0.5496
54     55       0.5439
55     A4o      0.5422
56     Q9o      0.5421
57     T8s      0.5412
58     Q7s      0.5408
59     K4s      0.5401
60     K8o      0.5397
61     Q6s      0.5396
62     K7o      0.5379
63     J9o      0.5351
64     K3s      0.5340
65     A3o      0.5327
66     J7s      0.5308
67     Q5s      0.5308
68     Q8o      0.5299
69     K6o      0.5284
70     98s      0.5284
71     T9o      0.5249
72     K2s      0.5229
73     A2o      0.5222
74     K5o      0.5210
75     T7s      0.5194
76     J8o      0.5176
77     Q4s      0.5156
78     97s      0.5138
79     Q7o      0.5127
80     K4o      0.5124
81     T6s      0.5103
82     Q3s      0.5097
83     J6s      0.5090
84     J5s      0.5085
85     T8o      0.5084
86     44       0.5079
87     Q6o      0.5055
88     87s      0.5033
89     J4s      0.5029
90     Q2s      0.5007
91     J7o      0.4986
92     98o      0.4953
93     96s      0.4943
94     Q5o      0.4941
95     86s      0.4926
96     76s      0.4918
97     T5s      0.4918
98     K3o      0.4913
99     J3s      0.4884
100    T4s      0.4866
101    T7o      0.4862
102    Q4o      0.4858
103    K2o      0.4822
104    97o      0.4807
105    95s      0.4799
106    J6o      0.4787
107    J2s      0.4771
108    33       0.4768
109    85s      0.4752
110    J5o      0.4744
111    T3s      0.4735
112    65s      0.4731
113    75s      0.4728
114    T6o      0.4704
115    87o      0.4700
116    Q3o      0.4696
117    T2s      0.4638
118    J4o      0.4617
119    54s      0.4604
120    94s      0.4597
121    Q2o      0.4590
122    96o      0.4583
123    84s      0.4555
124    86o      0.4549
125    93s      0.4535
126    T5o      0.4513
127    76o      0.4509
128    74s      0.4506
129    64s      0.4477
130    J3o      0.4461
131    T4o      0.4449
132    92s      0.4428
133    53s      0.4414
134    95o      0.4411
135    22       0.4406
136    65o      0.4358
137    J2o      0.4345
138    85o      0.4343
139    83s      0.4332
140    63s      0.4330
141    T3o      0.4320
142    43s      0.4316
143    73s      0.4311
144    75o      0.4299
145    82s      0.4224
146    T2o      0.4208
147    52s      0.4199
148    54o      0.4194
149    74o      0.4167
150    94o      0.4160
151    84o      0.4157
152    93o      0.4120
153    64o      0.4119
154    62s      0.4106
155    42s      0.4090
156    72s      0.4078
157    92o      0.4012
158    53o      0.3956
159    32s      0.3948
160    83o      0.3926
161    63o      0.3911
162    73o      0.3891
163    43o      0.3843
164    82o      0.3830
165    52o      0.3752
166    62o      0.3646
167    72o      0.3620
168    42o      0.3602
169    32o      0.3481

============================================================
BY CATEGORY
============================================================

PAIRS:
  AA: 0.7947
  KK: 0.7670
  QQ: 0.7452
  JJ: 0.7266
  TT: 0.6987
  99: 0.6697
  88: 0.6355
  77: 0.6112
  66: 0.5788
  55: 0.5439
  44: 0.5079
  33: 0.4768
  22: 0.4406

SUITED (top 20):
  AKs: 0.6426
  AQs: 0.6368
  AJs: 0.6301
  ATs: 0.6235
  KQs: 0.6151
  KJs: 0.6104
  KTs: 0.6095
  A9s: 0.6078
  A8s: 0.6006
  QJs: 0.5990
  QTs: 0.5926
  A7s: 0.5903
  K9s: 0.5881
  A5s: 0.5858
  A6s: 0.5845
  JTs: 0.5819
  Q9s: 0.5742
  A4s: 0.5739
  K8s: 0.5696
  K7s: 0.5678

OFFSUIT (top 20):
  AKo: 0.6233
  AQo: 0.6171
  AJo: 0.6088
  ATo: 0.6039
  KQo: 0.5914
  KJo: 0.5857
  A9o: 0.5809
  KTo: 0.5808
  A8o: 0.5783
  QJo: 0.5776
  QTo: 0.5698
  A7o: 0.5636
  A5o: 0.5586
  JTo: 0.5579
  K9o: 0.5575
  A6o: 0.5512
  A4o: 0.5422
  Q9o: 0.5421
  K8o: 0.5397
  K7o: 0.5379

============================================================
STATISTICS
============================================================

Min equity: 0.3481
Max equity: 0.7947
Avg equity: 0.5106

Average by category:
  Pairs:   0.6305
  Suited:  0.5181
  Offsuit: 0.4832
