====================================================================================================
3-CARD PREFLOP SCORES - TOSS'EM HOLD'EM
====================================================================================================

Simulations per hand: 50000

Scoring: preflop_score = pure 3-card MC equity
         (both players discard optimally in simulation)

Total hand classes: 1911

------------------------------------------------------------------------------------------
Rank   Hand   Score    Pattern  Keep   Best2c   2nd2c    Flex  
------------------------------------------------------------------------------------------
1      AAA    0.9164   ___      AA     0.7947   0.7947   1.000 
2      KKK    0.9129   ___      KK     0.7670   0.7670   1.000 
3      QQQ    0.9007   ___      QQ     0.7452   0.7452   1.000 
4      JJJ    0.8902   ___      JJ     0.7266   0.7266   1.000 
5      TTT    0.8821   ___      TT     0.6987   0.6987   1.000 
6      999    0.8810   ___      99     0.6697   0.6697   1.000 
7      888    0.8799   ___      88     0.6355   0.6355   1.000 
8      777    0.8779   ___      77     0.6112   0.6112   1.000 
9      666    0.8751   ___      66     0.5788   0.5788   1.000 
10     222    0.8739   ___      22     0.4406   0.4406   1.000 
11     333    0.8732   ___      33     0.4768   0.4768   1.000 
12     555    0.8717   ___      55     0.5439   0.5439   1.000 
13     444    0.8701   ___      44     0.5079   0.5079   1.000 
14     AA2    0.8508   _AA      AA     0.7947   0.5575   0.763 
15     AA2    0.8495   A_A      AA     0.7947   0.5575   0.763 
16     AA3    0.8368   A_A      AA     0.7947   0.5665   0.772 
17     AA3    0.8330   _AA      AA     0.7947   0.5665   0.772 
18     AA4    0.8247   _AA      AA     0.7947   0.5739   0.779 
19     AA4    0.8239   A_A      AA     0.7947   0.5739   0.779 
20     AAK    0.8222   A_A      AA     0.7947   0.6426   0.848 
21     AA2    0.8209   ___      AA     0.7947   0.5222   0.727 
22     AAK    0.8164   _AA      AA     0.7947   0.6426   0.848 
23     AAQ    0.8128   A_A      AA     0.7947   0.6368   0.842 
24     AAQ    0.8103   _AA      AA     0.7947   0.6368   0.842 
25     AA5    0.8094   A_A      AA     0.7947   0.5858   0.791 
26     AA5    0.8063   _AA      AA     0.7947   0.5858   0.791 
27     AA6    0.8016   A_A      AA     0.7947   0.5845   0.790 
28     AAJ    0.8015   A_A      AA     0.7947   0.6301   0.835 
29     AA7    0.8012   A_A      AA     0.7947   0.5903   0.796 
30     AA3    0.8011   ___      AA     0.7947   0.5327   0.738 
31     KK2    0.8004   _AA      KK     0.7670   0.5229   0.756 
32     AA7    0.7997   _AA      AA     0.7947   0.5903   0.796 
33     AAJ    0.7994   _AA      AA     0.7947   0.6301   0.835 
34     KK2    0.7978   A_A      KK     0.7670   0.5229   0.756 
35     AA6    0.7965   _AA      AA     0.7947   0.5845   0.790 
36     AA8    0.7942   _AA      AA     0.7947   0.6006   0.806 
37     AA8    0.7932   A_A      AA     0.7947   0.6006   0.806 
38     AA4    0.7923   ___      AA     0.7947   0.5422   0.748 
39     AAT    0.7920   A_A      AA     0.7947   0.6235   0.829 
40     AA9    0.7910   _AA      AA     0.7947   0.6078   0.813 
41     AAT    0.7909   _AA      AA     0.7947   0.6235   0.829 
42     KK3    0.7884   A_A      KK     0.7670   0.5340   0.767 
43     AA9    0.7881   A_A      AA     0.7947   0.6078   0.813 
44     AAK    0.7867   ___      AA     0.7947   0.6233   0.829 
45     KK3    0.7856   _AA      KK     0.7670   0.5340   0.767 
46     KKQ    0.7814   A_A      KK     0.7670   0.6151   0.848 
47     KKQ    0.7787   _AA      KK     0.7670   0.6151   0.848 
48     AAQ    0.7783   ___      AA     0.7947   0.6171   0.822 
49     AA5    0.7759   ___      AA     0.7947   0.5586   0.764 
50     KK4    0.7754   _AA      KK     0.7670   0.5401   0.773 
51     KK4    0.7735   A_A      KK     0.7670   0.5401   0.773 
52     KKJ    0.7723   A_A      KK     0.7670   0.6104   0.843 
53     KK2    0.7712   ___      KK     0.7670   0.4822   0.715 
54     AAJ    0.7711   ___      AA     0.7947   0.6088   0.814 
55     KKJ    0.7699   _AA      KK     0.7670   0.6104   0.843 
56     AA7    0.7653   ___      AA     0.7947   0.5636   0.769 
57     KK5    0.7652   _AA      KK     0.7670   0.5536   0.787 
58     AA6    0.7641   ___      AA     0.7947   0.5512   0.756 
59     QQ2    0.7635   A_A      QQ     0.7452   0.5007   0.755 
60     QQ2    0.7635   _AA      QQ     0.7452   0.5007   0.755 
